N,m,trial,nd_size,Naive_ms,MTF_ms,M3_ms
10,2,0,4,0.04756299995278823,0.01808900003652525,0.006215999974301667
10,2,1,3,0.004259999968780903,0.004818999968847493,0.003842000069198548
10,2,2,3,0.003771000024244131,0.002374000018789957,0.003353000010974938
10,2,3,4,0.002375000008214556,0.0023050000663715764,0.0023049999526847387
10,2,4,2,0.03436300005432713,0.014318000012281118,0.00384199995551171
10,2,5,4,0.0032829999554451206,0.001956000005520764,0.002864000066438166
10,2,6,4,0.002862999963326729,0.001886000063677784,0.0023049999526847387
10,2,7,3,0.0018160000081479666,0.0013970000054541742,0.002375000008214556
10,2,8,6,0.03624900000431808,0.013270000067677756,0.0037720000136687304
10,2,9,4,0.0029340000082811457,0.0033520000215503387,0.0027940000109083485
10,2,10,3,0.002375000008214556,0.0019550000160961645,0.001956000005520764
10,2,11,3,0.0033520000215503387,0.0032830000691319583,0.003213000013602141
10,2,12,2,0.029961999985061993,0.015784999959578272,0.0037709999105572933
10,2,13,2,0.003840999966087111,0.0037720000136687304,0.0034219999633933185
10,2,14,2,0.002375000008214556,0.0027940000109083485,0.002375000008214556
10,2,15,2,0.0027940000109083485,0.003422999952817918,0.002374000018789957
10,2,16,3,0.031010000043352193,0.01375899989852769,0.003353000010974938
10,2,17,2,0.003353000010974938,0.0032829999554451206,0.0033520000215503387
10,2,18,1,0.002864000066438166,0.0029340000082811457,0.0028639999527513282
10,2,19,1,0.0038410000797739485,0.0033529998972881003,0.002375000008214556
10,2,20,3,0.02905499991356919,0.011873000062223582,0.00384199995551171
10,2,21,4,0.0032819999660205212,0.002862999963326729,0.002375000008214556
10,2,22,2,0.002375000008214556,0.0024450000637443736,0.0013970000054541742
10,2,23,3,0.0028639999527513282,0.0029330000188565464,0.003351999907863501
10,2,24,4,0.03289600010702998,0.014528000065183733,0.005239000074652722
10,2,25,4,0.0032829999554451206,0.00384199995551171,0.0028630000770135666
10,2,26,3,0.001956000005520764,0.0028639999527513282,0.0024440000743197743
10,2,27,3,0.002862999963326729,0.0028639999527513282,0.0029340000082811457
10,2,28,3,0.030031999926904973,0.010545999998612388,0.0027940000109083485
10,2,29,1,0.0028630000770135666,0.002374000018789957,0.002444999950057536
100,2,0,5,0.012502000004133151,0.00607599997692887,0.0037720000136687304
100,2,1,3,0.0048889999106904725,0.001956000005520764,0.0028639999527513282
100,2,2,2,0.014597000017602113,0.010126999995918595,0.005168000029698305
100,2,3,9,0.009498000054009026,0.00481900008253433,0.004749999902742275
100,2,4,6,0.007962000040606654,0.004818999968847493,0.004329999910623883
100,2,5,9,0.0057279999055026565,0.0032829999554451206,0.00433100001373532
100,2,6,6,0.012990999948669923,0.009567999995852006,0.0046800000745861325
100,2,7,1,0.008242000035352248,0.005168000029698305,0.004818999968847493
100,2,8,7,0.009009999985210015,0.005796999971607875,0.014666999959445093
100,2,9,4,0.006286000029831484,0.004818999968847493,0.003282000079707359
100,2,10,4,0.01857799998106202,0.00991799993244058,0.006215999974301667
100,2,11,1,0.006495999969047261,0.005238999960965884,0.0043999999661537
100,2,12,6,0.01152400000137277,0.007124000035219069,0.006286000029831484
100,2,13,3,0.008031999982449634,0.005656999974235077,0.004330000024310721
100,2,14,6,0.009499000043433625,0.0046789999714746955,0.005656999974235077
100,2,15,5,0.007193999977062049,0.003351999907863501,0.002374000018789957
100,2,16,7,0.0061459999187718495,0.0029330000188565464,0.0034230000665047555
100,2,17,3,0.006146000032458687,0.0029340000082811457,0.0027940000109083485
100,2,18,3,0.012431999948603334,0.008520999926986406,0.00488900002437731
100,2,19,2,0.007054000093376089,0.004259999968780903,0.00384199995551171
100,2,20,4,0.00537800008260092,0.0033520000215503387,0.002375000008214556
100,2,21,6,0.006705000032525277,0.004750000016429112,0.004818999968847493
100,2,22,6,0.012851000064983964,0.008031999982449634,0.003701999958138913
100,2,23,2,0.004679000085161533,0.0027929999077969114,0.0029330000188565464
100,2,24,8,0.006285999916144647,0.002862999963326729,0.0032829999554451206
100,2,25,6,0.005657999963659677,0.003842000069198548,0.00384199995551171
100,2,26,6,0.013898000020162726,0.009009999985210015,0.0034219999633933185
100,2,27,2,0.005726999916078057,0.0032830000691319583,0.0032829999554451206
100,2,28,4,0.005727000029764895,0.003422999952817918,0.003353000010974938
100,2,29,3,0.007612999979755841,0.0027940000109083485,0.0032819999660205212
1000,2,0,8,0.06579199998668628,0.01159399994321575,0.00991799993244058
1000,2,1,10,0.06711900005029747,0.01103499994314916,0.010266999993291392
1000,2,2,6,0.03722600001765386,0.008729999990464421,0.008031999982449634
1000,2,3,7,0.04833100001633284,0.008451000098830264,0.007613000093442679
1000,2,4,10,0.07515099991906027,0.012781000009454146,0.011035000056835997
1000,2,5,5,0.046236000002863875,0.011453999945842952,0.009498000054009026
1000,2,6,12,0.06299799997577793,0.013688999956684711,0.011872999948536744
1000,2,7,8,0.06809599994994642,0.009568999985276605,0.009987999987970397
1000,2,8,5,0.04993799996100279,0.010127999985343195,0.008031999982449634
1000,2,9,5,0.038622999909421196,0.008731000093575858,0.008032000096136471
1000,2,10,6,0.05475700004353712,0.00928899999053101,0.009427999998479208
1000,2,11,11,0.06055400001514499,0.010616999929879967,0.009499000043433625
1000,2,12,7,0.06397600009222515,0.008730000104151259,0.008032000096136471
1000,2,13,6,0.04861100001107843,0.009917000056702818,0.009009999985210015
1000,2,14,8,0.02528299989990046,0.005727000029764895,0.004818999968847493
1000,2,15,7,0.04756300006647507,0.007752999977128638,0.007612999979755841
1000,2,16,7,0.07948099994337099,0.011943000004066562,0.010825000003933383
1000,2,17,4,0.035760000059781305,0.006216000087988505,0.005796999971607875
1000,2,18,7,0.0457470000583271,0.008170999990397831,0.008101999924292613
1000,2,19,7,0.06858599999759463,0.018298999975741026,0.015644999962205475
1000,2,20,7,0.10231999999632535,0.01802000008410687,0.016273999904115044
1000,2,21,10,0.0748019999718963,0.009708999982649402,0.010755999937828165
1000,2,22,9,0.05580499998814048,0.010825999993357982,0.011104999998678977
1000,2,23,7,0.07717699998011085,0.01864800003659184,0.015783999970153673
1000,2,24,5,0.029961999985061993,0.009428999987903808,0.008242000035352248
1000,2,25,9,0.07431300002735952,0.01096500000130618,0.011455000048954389
1000,2,26,6,0.041905999978553155,0.007263999918905029,0.007124000035219069
1000,2,27,4,0.04770300006384787,0.007264000032591866,0.005797000085294712
1000,2,28,7,0.057690000062393665,0.007751999987704039,0.007612999979755841
1000,2,29,10,0.04972799990810017,0.008170999990397831,0.007961999926919816
10000,2,0,16,0.8476829999608526,0.057270999946013035,0.05189300009078579
10000,2,1,5,0.540445000069667,0.03603899995141546,0.03436300005432713
10000,2,2,7,0.7144219999872803,0.041346999978486565,0.039181999909487786
10000,2,3,11,0.5606990000615042,0.07207800001651776,0.05573499993261066
10000,2,4,10,0.7702970000309506,0.06865499995001301,0.054896000051485316
10000,2,5,7,0.6929109999873617,0.06774799999220704,0.054965999993328296
10000,2,6,6,0.8008180000160792,0.048540999955548614,0.051125000027241185
10000,2,7,5,0.7409629999983736,0.04204499998650135,0.04050900008678582
10000,2,8,7,0.5427489999192403,0.043511999933798506,0.04162699997323216
10000,2,9,8,0.4995860000462926,0.03778500001772045,0.03764500002034765
10000,2,10,7,1.2371960000336912,0.07598900003813469,0.06956300001093041
10000,2,11,9,0.7707160000336444,0.05824899994877342,0.03764500002034765
10000,2,12,8,1.0979999999563006,0.08157700005995139,0.06251000002066576
10000,2,13,8,0.7262960000389285,0.09875800003555923,0.06725800005824567
10000,2,14,11,0.8784130000094592,0.040857999920262955,0.04916900002172042
10000,2,15,15,0.49155399995015614,0.05580399999871588,0.0492389999635634
10000,2,16,8,0.6338940000887305,0.08143700006257859,0.05957599989869777
10000,2,17,10,0.8286160000352538,0.04609600000549108,0.045677000002797286
10000,2,18,11,0.9921879999410521,0.07494199996926909,0.06292799992024811
10000,2,19,10,1.340633999916463,0.08122700000967598,0.06823599994731921
10000,2,20,9,0.9190620000936178,0.07305600001927814,0.06250999990697892
10000,2,21,6,1.0035029999926337,0.07934200004910963,0.061601999959748355
10000,2,22,10,1.0979300000144576,0.07927199999357981,0.05447800003821612
10000,2,23,7,0.9828990000642079,0.04476900005556672,0.04476899994187988
10000,2,24,12,0.7112800000186326,0.07019300005595142,0.04826100007448986
10000,2,25,9,1.148566000097162,0.08262400001513015,0.0689349999447586
10000,2,26,13,0.9386880000192832,0.08325299995703972,0.06655999993654405
10000,2,27,7,0.8207230000607524,0.07165900001382397,0.06055400001514499
10000,2,28,7,1.4958250000063344,0.08904900005290983,0.07522099997459009
10000,2,29,13,0.95056099996782,0.042533999931038124,0.04476900005556672
10,3,0,4,0.005727000029764895,0.004260000082467741,0.003771000024244131
10,3,1,6,0.003911000021616928,0.003353000010974938,0.00384199995551171
10,3,2,4,0.0037720000136687304,0.0037709999105572933,0.0024439999606329366
10,3,3,7,0.0032830000691319583,0.0032819999660205212,0.0028639999527513282
10,3,4,5,0.0053080000270711025,0.003771000024244131,0.002444999950057536
10,3,5,5,0.002864000066438166,0.002374000018789957,0.0024439999606329366
10,3,6,6,0.001886000063677784,0.002375000008214556,0.002374000018789957
10,3,7,5,0.003282000079707359,0.002375000008214556,0.002862999963326729
10,3,8,3,0.00481900008253433,0.0034219999633933185,0.0037720000136687304
10,3,9,5,0.003422999952817918,0.002793000021483749,0.003771000024244131
10,3,10,5,0.0033520000215503387,0.0032819999660205212,0.003771000024244131
10,3,11,8,0.0032819999660205212,0.003840999966087111,0.003422000077080156
